year,month,day,hour,Prijs
2013,2,9,23,0.05494
2013,2,10,0,0.05735
2013,2,10,1,0.04744
2013,2,10,2,0.04494
2013,2,10,3,0.042
2013,2,10,4,0.03721
2013,2,10,5,0.03674
2013,2,10,6,0.0376
2013,2,10,7,0.0373
2013,2,10,8,0.04234
2013,2,10,9,0.04817
2013,2,10,10,0.04932
2013,2,10,11,0.04993
2013,2,10,12,0.05062
2013,2,10,13,0.04487
2013,2,10,14,0.03902
2013,2,10,15,0.03745
2013,2,10,16,0.03797
2013,2,10,17,0.041
2013,2,10,18,0.05709
2013,2,10,19,0.05824
2013,2,10,20,0.055
2013,2,10,21,0.04901
2013,2,10,22,0.05017
2013,2,10,23,0.04681
2013,2,11,0,0.03744
2013,2,11,1,0.0367
2013,2,11,2,0.03791
2013,2,11,3,0.03265
2013,2,11,4,0.02974
2013,2,11,5,0.03626
2013,2,11,6,0.04073
2013,2,11,7,0.04744
2013,2,11,8,0.05254
2013,2,11,9,0.05559
2013,2,11,10,0.05905
2013,2,11,11,0.05905
2013,2,11,12,0.05535
2013,2,11,13,0.05535
